year,qdistance,qtime,avg_delay
1990,2,2,5.3898316824825102
1990,3,3,5.7588795496607033
1990,4,4,5.9088592023065834
1990,5,5,7.0236563698379358
1990,6,6,6.7444017582113315
1990,7,7,5.5916348203483571
1990,8,8,5.9483986106580185
1990,9,9,6.0998627329598542
1990,10,10,6.4440740001841564
1990,11,11,6.6942144947151080
1990,12,12,7.2514282204066589
1990,13,13,7.2018679432613196
1990,14,14,7.9234804512523447
1990,15,15,7.3000138112008839
1990,16,16,7.6874630577795519
1990,17,17,7.4534170784861414
1990,18,18,8.0812358339693266
1990,19,19,8.2216552678091140
1990,20,20,7.7393647257643263
1998,1,1,5.0793544048419637
1998,1,2,8.3274516181492926
1998,1,3,13.9337102473498233
1998,1,4,19.5135559921414538
1998,1,5,29.0540098199672668
1998,1,6,39.3390663390663391
1998,1,7,42.9134078212290503
1998,1,8,51.5929648241206030
1998,1,9,69.0260869565217391
1998,1,10,74.2241379310344828
1998,1,11,83.8163265306122449
1998,1,12,86.9000000000000000
1998,1,13,109.5000000000000000
1998,1,14,113.5000000000000000
1998,1,15,111.0000000000000000
1998,1,16,121.0000000000000000
1998,1,20,
1998,2,1,3.5647083184308115
1998,2,2,4.6228276336195181
1998,2,3,7.2879549609439920
1998,2,4,9.9965915449966933
1998,2,5,16.3536258875567454
1998,2,6,24.9668715846994536
1998,2,7,36.0233953209358128
1998,2,8,44.2681623931623932
1998,2,9,54.6886792452830189
1998,2,10,73.3159851301115242
1998,2,11,81.5195530726256983
1998,2,12,98.2637362637362637
1998,2,13,107.0800000000000000
1998,2,14,143.9230769230769231
1998,2,15,150.5000000000000000
1998,2,16,180.0000000000000000
1998,2,17,142.5000000000000000
1998,2,20,
1998,3,1,4.5500000000000000
1998,3,2,4.6368145560338146
1998,3,3,6.4356552421353103
1998,3,4,10.8746650723000952
1998,3,5,16.0312280477680567
1998,3,6,22.7601932367149758
1998,3,7,32.4022346368715084
1998,3,8,43.1599713055954089
1998,3,9,55.9903314917127072
1998,3,10,67.3539823008849558
1998,3,11,81.0867346938775510
1998,3,12,89.7127659574468085
1998,3,13,105.2000000000000000
1998,3,14,132.8148148148148148
1998,3,15,173.2307692307692308
1998,3,16,115.1818181818181818
1998,3,17,163.7500000000000000
1998,3,18,173.0000000000000000
1998,3,19,186.0000000000000000
1998,3,20,
1998,4,1,10.7937649880095923
1998,4,2,6.3830502058392088
1998,4,3,6.5912322838390564
1998,4,4,7.7505074237634237
1998,4,5,9.7317644916816496
1998,4,6,12.7045285820341500
1998,4,7,17.1250568440200091
1998,4,8,25.8060184033822432
1998,4,9,42.8741878322504430
1998,4,10,51.4934876989869754
1998,4,11,63.4340527577937650
1998,4,12,78.9468085106382979
1998,4,13,90.4382022471910112
1998,4,14,100.4791666666666667
1998,4,15,102.8947368421052632
1998,4,16,109.2222222222222222
1998,4,18,385.0000000000000000
1998,4,20,
1998,5,1,12.3450704225352113
1998,5,2,7.0980885311871227
1998,5,3,5.9835814024858064
1998,5,4,6.1375956986733680
1998,5,5,6.9512206047032475
1998,5,6,9.1467608406183060
1998,5,7,13.2226541908276226
1998,5,8,20.7517358171041490
1998,5,9,33.8223080637373250
1998,5,10,50.8981264637002342
1998,5,11,68.0046620046620047
1998,5,12,79.2231759656652361
1998,5,13,85.5401459854014599
1998,5,14,106.4838709677419355
1998,5,15,105.7222222222222222
1998,5,16,149.6153846153846154
1998,5,17,100.0000000000000000
1998,5,18,152.5000000000000000
1998,5,20,
1998,6,1,15.8070175438596491
1998,6,2,10.7745664739884393
1998,6,3,3.5336056442629038
1998,6,4,4.5160265573874647
1998,6,5,5.6671272279652821
1998,6,6,7.5796405221099993
1998,6,7,11.0734283042736923
1998,6,8,16.2531801395157981
1998,6,9,26.7712844229556443
1998,6,10,41.8751576292559899
1998,6,11,62.1337500000000000
1998,6,12,74.6959314775160600
1998,6,13,86.7257383966244726
